,facts,length,base,approx,truth,eps
41,"[['/m/09v71cj', '/film/film/estimated_budget./measurement_unit/dated_money_value/currency', '/m/09nqf'], ['/m/09nqf', 'INVERSE_/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency', '/m/015fr']]",2,0.87752753,0.022645,0.12000531,0.8113000094890594
42,"[['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/07ylj']]",1,0.87752753,0.010818,0.20089644,0.9461513608694077
43,"[['/m/07ylj', '/location/location/adjoin_s./location/adjoining_relationship/adjoins', '/m/015fr']]",1,0.87752753,0.011135,0.09200555,0.8789746984839439
44,"[['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/07ylj'], ['/m/07ylj', '/location/location/adjoin_s./location/adjoining_relationship/adjoins', '/m/015fr']]",2,0.87752753,0.011511,0.12490463,0.9078416898846626
45,"[['/m/0gmgwnv', 'INVERSE_/film/director/film', '/m/06pj8']]",1,0.8457877,0.033708,-0.13946694,1.241691678762436
46,"[['/m/06pj8', '/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency', '/m/09nqf']]",1,0.8457877,0.036821,0.0057249665,5.4316534996032715
47,"[['/m/0gmgwnv', 'INVERSE_/film/director/film', '/m/06pj8'], ['/m/06pj8', '/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency', '/m/09nqf']]",2,0.8457877,0.047928,-0.12880617,1.3720939755439758
48,"[['/m/0gmgwnv', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/01mjq']]",1,0.8457877,0.013126,-0.090898216,1.1444032788276672
49,"[['/m/01mjq', '/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency', '/m/09nqf']]",1,0.8457877,-0.028381,-0.06592733,0.5695108473300934
50,"[['/m/0gmgwnv', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/01mjq'], ['/m/01mjq', '/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency', '/m/09nqf']]",2,0.8457877,0.02095,-0.07867092,1.2662991881370544
51,"[['/m/0gmgwnv', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/01mjq']]",1,0.8457877,0.007225,-0.049590707,1.145692616701126
52,"[['/m/01mjq', '/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency', '/m/09nqf']]",1,0.8457877,0.011405,-0.112936676,1.1009858027100563
53,"[['/m/0gmgwnv', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/01mjq'], ['/m/01mjq', '/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency', '/m/09nqf']]",2,0.8457877,0.010243,-0.14844406,1.06900242716074
54,"[['/m/0gmgwnv', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/03h64']]",1,0.8457877,-0.003013,0.02699691,1.1116053611040115
55,"[['/m/03h64', '/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency', '/m/09nqf']]",1,0.8457877,0.000352,-0.11837,1.0029737264849246
56,"[['/m/0gmgwnv', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/03h64'], ['/m/03h64', '/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency', '/m/09nqf']]",2,0.8457877,-0.003832,-0.1355176,0.9717232286930084
