,explain,facts,length,origin,approx,truth
10,"['/m/0mwk9', '/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency', '/m/09nqf']","[['/m/08mbj5d', 'INVERSE_/common/topic/webpage./common/webpage/category', '/m/09nqf']]",1,0.9951925,0.018437,-0.001132071
11,"['/m/0mwk9', '/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency', '/m/09nqf']","[['/m/0mwk9', 'INVERSE_/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division', '/m/0_565'], ['/m/0_565', '/common/topic/webpage./common/webpage/category', '/m/08mbj5d'], ['/m/08mbj5d', 'INVERSE_/common/topic/webpage./common/webpage/category', '/m/09nqf']]",3,0.9951925,0.062478,0.0065338016
12,"['/m/0mwk9', '/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency', '/m/09nqf']","[['/m/0mwk9', 'INVERSE_/location/location/contains', '/m/05tbn']]",1,0.9951925,0.036183,-0.00068724155
13,"['/m/0mwk9', '/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency', '/m/09nqf']","[['/m/05tbn', '/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency', '/m/09nqf']]",1,0.9951925,0.011526,-0.0030071735
14,"['/m/0mwk9', '/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency', '/m/09nqf']","[['/m/0mwk9', 'INVERSE_/location/location/contains', '/m/05tbn'], ['/m/05tbn', '/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency', '/m/09nqf']]",2,0.9951925,0.012966,-0.001701951
15,"['/m/0mwk9', '/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency', '/m/09nqf']","[['/m/0mwk9', 'INVERSE_/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division', '/m/0_565']]",1,0.9951925,0.030363,-0.0015188456
16,"['/m/0mwk9', '/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency', '/m/09nqf']","[['/m/09c7w0', '/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency', '/m/09nqf']]",1,0.9951925,0.012599,-0.0011872649
17,"['/m/0mwk9', '/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency', '/m/09nqf']","[['/m/0mwk9', 'INVERSE_/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division', '/m/0_565'], ['/m/0_565', 'INVERSE_/location/location/contains', '/m/09c7w0'], ['/m/09c7w0', '/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency', '/m/09nqf']]",3,0.9951925,0.012951,0.0005874038
18,"['/m/0mwk9', '/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency', '/m/09nqf']","[['/m/0mwk9', '/location/location/contains', '/m/0_565']]",1,0.9951925,0.022533,-0.0034080148
19,"['/m/0mwk9', '/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency', '/m/09nqf']","[['/m/08mbj5d', 'INVERSE_/common/topic/webpage./common/webpage/category', '/m/09nqf']]",1,0.9951925,0.010036,-0.0038802624
20,"['/m/0mwk9', '/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency', '/m/09nqf']","[['/m/0mwk9', '/location/location/contains', '/m/0_565'], ['/m/0_565', '/common/topic/webpage./common/webpage/category', '/m/08mbj5d'], ['/m/08mbj5d', 'INVERSE_/common/topic/webpage./common/webpage/category', '/m/09nqf']]",3,0.9951925,0.016496,-0.0016170144
21,"['/m/0mwk9', '/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency', '/m/09nqf']","[['/m/0mwk9', 'INVERSE_/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division', '/m/0_565']]",1,0.9951925,0.015637,0.008254945
22,"['/m/0mwk9', '/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency', '/m/09nqf']","[['/m/09c7w0', '/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency', '/m/09nqf']]",1,0.9951925,0.005305,-0.0009434819
23,"['/m/0mwk9', '/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency', '/m/09nqf']","[['/m/0mwk9', 'INVERSE_/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division', '/m/0_565'], ['/m/0_565', 'INVERSE_/location/location/contains', '/m/09c7w0'], ['/m/09c7w0', '/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency', '/m/09nqf']]",3,0.9951925,-0.010737,-0.0019191504
24,"['/m/065ym0c', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/07ssc']","[['/m/065ym0c', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0ctw_b']]",1,0.8324487,0.03251,0.2208339
25,"['/m/065ym0c', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/07ssc']","[['/m/0ctw_b', 'INVERSE_/military/military_combatant/military_conflicts./military/military_combatant_group/combatants', '/m/07ssc']]",1,0.8324487,-0.009212,0.034164548
26,"['/m/065ym0c', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/07ssc']","[['/m/065ym0c', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0ctw_b'], ['/m/0ctw_b', 'INVERSE_/military/military_combatant/military_conflicts./military/military_combatant_group/combatants', '/m/07ssc']]",2,0.8324487,0.018566,0.18970203
27,"['/m/065ym0c', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/07ssc']","[['/m/065ym0c', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/059j2']]",1,0.8324487,0.001173,0.10346812
28,"['/m/065ym0c', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/07ssc']","[['/m/059j2', '/military/military_combatant/military_conflicts./military/military_combatant_group/combatants', '/m/07ssc']]",1,0.8324487,-0.034441,0.06406331
29,"['/m/065ym0c', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/07ssc']","[['/m/065ym0c', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/059j2'], ['/m/059j2', '/military/military_combatant/military_conflicts./military/military_combatant_group/combatants', '/m/07ssc']]",2,0.8324487,0.001085,0.14604616
30,"['/m/065ym0c', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/07ssc']","[['/m/065ym0c', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0ctw_b']]",1,0.8324487,-0.005578,0.15826505
31,"['/m/065ym0c', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/07ssc']","[['/m/0ctw_b', '/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to', '/m/07ssc']]",1,0.8324487,-0.03792,0.055669487
32,"['/m/065ym0c', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/07ssc']","[['/m/065ym0c', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0ctw_b'], ['/m/0ctw_b', '/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to', '/m/07ssc']]",2,0.8324487,-0.006133,0.2088632
33,"['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/015fr']","[['/m/09v71cj', '/film/film/estimated_budget./measurement_unit/dated_money_value/currency', '/m/09nqf']]",1,0.9497086,0.004768,-0.023664176
34,"['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/015fr']","[['/m/09nqf', 'INVERSE_/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency', '/m/015fr']]",1,0.9497086,-0.065968,-0.020058215
35,"['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/015fr']","[['/m/09v71cj', '/film/film/estimated_budget./measurement_unit/dated_money_value/currency', '/m/09nqf'], ['/m/09nqf', 'INVERSE_/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency', '/m/015fr']]",2,0.9497086,0.010238,0.45296296
36,"['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/015fr']","[['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/07ylj']]",1,0.9497086,0.002721,0.14768243
37,"['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/015fr']","[['/m/07ylj', 'INVERSE_/location/location/adjoin_s./location/adjoining_relationship/adjoins', '/m/015fr']]",1,0.9497086,0.012173,0.08707595
38,"['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/015fr']","[['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/07ylj'], ['/m/07ylj', 'INVERSE_/location/location/adjoin_s./location/adjoining_relationship/adjoins', '/m/015fr']]",2,0.9497086,0.004876,0.183317
39,"['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/015fr']","[['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/07ylj']]",1,0.9497086,0.00023,0.113785386
40,"['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/015fr']","[['/m/07ylj', '/location/location/adjoin_s./location/adjoining_relationship/adjoins', '/m/015fr']]",1,0.9497086,-0.012205,0.20887434
41,"['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/015fr']","[['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/07ylj'], ['/m/07ylj', '/location/location/adjoin_s./location/adjoining_relationship/adjoins', '/m/015fr']]",2,0.9497086,-0.00016,0.038506567
42,"['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/015fr']","[['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0jgd']]",1,0.9497086,0.000141,0.49081558
43,"['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/015fr']","[['/m/0jgd', 'INVERSE_/location/location/adjoin_s./location/adjoining_relationship/adjoins', '/m/015fr']]",1,0.9497086,-0.008126,0.06377542
44,"['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/015fr']","[['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0jgd'], ['/m/0jgd', 'INVERSE_/location/location/adjoin_s./location/adjoining_relationship/adjoins', '/m/015fr']]",2,0.9497086,-9e-05,0.27231723
45,"['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/015fr']","[['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0jgd']]",1,0.9497086,-2.5e-05,0.092091024
46,"['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/015fr']","[['/m/0jgd', '/location/location/adjoin_s./location/adjoining_relationship/adjoins', '/m/015fr']]",1,0.9497086,-0.033543,0.06827581
47,"['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/015fr']","[['/m/09v71cj', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/0jgd'], ['/m/0jgd', '/location/location/adjoin_s./location/adjoining_relationship/adjoins', '/m/015fr']]",2,0.9497086,7.9e-05,0.14421695
48,"['/m/0gmgwnv', '/film/film/estimated_budget./measurement_unit/dated_money_value/currency', '/m/09nqf']","[['/m/0gmgwnv', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/01mjq']]",1,0.99676967,-0.038752,0.0069171786
49,"['/m/0gmgwnv', '/film/film/estimated_budget./measurement_unit/dated_money_value/currency', '/m/09nqf']","[['/m/01mjq', '/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency', '/m/09nqf']]",1,0.99676967,0.000198,-2.6166439e-05
50,"['/m/0gmgwnv', '/film/film/estimated_budget./measurement_unit/dated_money_value/currency', '/m/09nqf']","[['/m/0gmgwnv', '/film/film/release_date_s./film/film_regional_release_date/film_release_region', '/m/01mjq'], ['/m/01mjq', '/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency', '/m/09nqf']]",2,0.99676967,-0.032367,0.004899621
